Clock(s)	TappedContent	OrderOfKeyTapped
1104.348	a	5
1104.888	n	6
1105.246	space	7
1105.732	w	8
1106.09	e	9
1106.474	a	10
1106.918	r	11
1107.302	s	12
1107.71	space	13
1108.214	a	14
1108.621	space	15
1109.017	c	16
1109.456	a	17
1110.052	p	18
1110.625	e	19
1111.082	space	20
1111.645	send	21
1122.283	l	1
1122.666	i	2
1123.152	f	3
1123.535	e	4
1123.992	space	5
1124.449	i	6
1124.992	s	7
1125.4	space	8
1125.758	b	9
1126.167	u	10
1126.584	t	11
1127.041	space	12
1127.545	a	13
1127.952	space	14
1128.373	d	15
1128.731	r	16
1129.089	e	17
1129.473	a	18
1130.035	m	19
1130.393	space	20
1130.956	send	21
1142.388	w	1
1142.746	e	2
1143.203	space	3
1143.561	b	4
1144.022	e	5
1144.439	t	6
1144.647	t	7
1145.064	e	8
1145.422	r	9
1145.879	space	10
1146.336	i	11
1146.745	n	12
1147.162	v	13
1147.571	e	14
1147.929	s	15
1148.373	t	16
1148.84	i	17
1149.284	g	18
1149.787	a	19
1150.273	t	20
1150.69	e	21
1151.147	space	22
1151.604	t	23
1151.987	h	24
1152.371	i	25
1152.914	s	26
1153.322	space	27
1153.885	send	28
1162.069	u	1
1162.587	s	2
1162.945	e	3
1163.303	r	4
1163.76	space	5
1164.169	f	6
1164.527	r	7
1165.03	i	8
1165.561	e	9
1166.059	n	10
1166.541	d	11
1167.095	l	12
1167.58	y	13
1168.037	space	14
1168.494	i	15
1168.903	n	16
1169.312	t	17
1169.729	e	18
1170.087	r	19
1170.445	f	20
1170.912	a	21
1171.351	c	22
1171.76	e	23
1172.217	space	24
1172.78	send	25
1182.381	s	1
1182.825	t	2
1183.311	a	3
1183.829	y	4
1184.286	space	5
1184.79	a	6
1185.148	w	7
1185.506	a	8
1186.024	y	9
1186.481	space	10
1186.89	f	11
1187.248	r	12
1187.779	o	13
1188.188	m	14
1188.546	space	15
1189.015	s	16
1189.459	t	17
1189.817	r	18
1190.261	a	19
1190.801	n	20
1191.176	g	21
1191.619	e	22
1191.977	r	23
1192.361	s	24
1192.769	space	25
1193.332	send	26
1202.346	t	1
1202.832	a	2
1203.405	k	3
1203.948	e	4
1204.405	space	5
1204.862	i	6
1205.329	t	7
1205.786	space	8
1206.243	t	9
1206.746	o	10
1207.202	space	11
1207.659	t	12
1208.042	h	13
1208.527	e	14
1208.984	space	15
1209.441	r	16
1209.799	e	17
1210.208	c	18
1210.631	y	19
1211.054	c	20
1211.599	l	21
1211.982	i	22
1212.391	n	23
1212.766	g	24
1213.175	space	25
1213.596	d	26
1213.954	e	27
1214.527	p	28
1214.885	o	29
1215.388	t	30
1215.845	space	31
1216.408	send	32
1222.346	t	1
1222.729	h	2
1223.214	e	3
1223.681	y	4
1224.138	space	5
1224.573	m	6
1224.982	i	7
1225.426	g	8
1225.784	h	9
1226.167	t	10
1226.624	space	11
1227.033	f	12
1227.519	i	13
1227.928	n	14
1228.41	d	15
1228.818	space	16
1229.275	y	17
1229.742	o	18
1230.159	u	19
1230.626	r	20
1231.083	space	21
1231.479	c	22
1232.012	o	23
1232.421	m	24
1232.629	m	25
1233.156	e	26
1233.654	n	27
1234.063	t	28
1234.52	space	29
1235.001	o	30
1235.519	f	31
1235.727	f	32
1236.11	e	33
1236.608	n	34
1237.122	s	35
1237.665	i	36
1238.135	v	37
1238.544	e	38
1239.001	space	39
1239.564	send	40
1242.346	t	1
1242.729	h	2
1243.214	e	3
1243.671	space	4
1244.175	a	5
1244.533	s	6
1244.741	s	7
1245.284	i	8
1245.728	g	9
1246.103	n	10
1246.461	m	11
1246.988	e	12
1247.486	n	13
1247.895	t	14
1248.352	space	15
1248.809	i	16
1249.352	s	17
1249.76	space	18
1250.181	d	19
1250.667	u	20
1251.17	e	21
1251.627	space	22
1252.084	t	23
1252.587	o	24
1253.13	d	25
1253.547	a	26
1254.065	y	27
1254.522	space	28
1255.085	send	29
1262.346	t	1
1262.729	h	2
1263.214	e	3
1263.671	space	4
1264.08	f	5
1264.566	i	6
1265.069	r	7
1265.427	e	8
1265.884	space	9
1266.242	b	10
1266.731	l	11
1267.32	a	12
1267.678	z	13
1268.087	e	14
1268.445	d	15
1268.853	space	16
1269.357	a	17
1269.946	l	18
1270.154	l	19
1270.561	space	20
1271.047	w	21
1271.405	e	22
1271.613	e	23
1272.156	k	24
1272.699	e	25
1273.197	n	26
1273.679	d	27
1274.087	space	28
1274.65	send	29
1282.346	t	1
1282.729	h	2
1283.214	e	3
1283.671	space	4
1284.17	l	5
1284.528	o	6
1285.061	c	7
1285.5	a	8
1285.986	t	9
1286.453	i	10
1286.811	o	11
1287.234	n	12
1287.592	space	13
1288.073	o	14
1288.591	f	15
1289.0	space	16
1289.457	t	17
1289.84	h	18
1290.325	e	19
1290.782	space	20
1291.178	c	21
1291.587	r	22
1292.09	i	23
1292.499	m	24
1293.026	e	25
1293.483	space	26
1294.046	send	27
1302.346	t	1
1302.729	h	2
1303.214	e	3
1303.671	space	4
1304.106	m	5
1304.515	o	6
1305.079	s	7
1305.523	t	8
1305.98	space	9
1306.338	b	10
1306.799	e	11
1307.183	a	12
1307.726	u	13
1308.143	t	14
1308.61	i	15
1309.096	f	16
1309.54	u	17
1309.983	l	18
1310.39	space	19
1310.859	s	20
1311.377	u	21
1311.786	n	22
1312.3	s	23
1312.658	e	24
1313.075	t	25
1313.532	space	26
1314.095	send	27
1322.344	v	1
1322.826	a	2
1323.415	l	3
1323.798	i	4
1324.156	u	5
1324.565	m	6
1324.923	space	7
1325.38	i	8
1325.789	n	9
1326.147	space	10
1326.604	t	11
1326.987	h	12
1327.472	e	13
1327.929	space	14
1328.386	e	15
1328.795	c	16
1329.328	o	17
1329.751	n	18
1330.174	o	19
1330.583	m	20
1330.992	y	21
1331.449	space	22
1331.918	s	23
1332.461	i	24
1333.016	z	25
1333.425	e	26
1333.882	space	27
1334.445	send	28
1342.346	t	1
1342.729	h	2
1343.214	e	3
1343.671	space	4
1344.08	f	5
1344.566	i	6
1345.069	r	7
1345.453	s	8
1345.897	t	9
1346.354	space	10
1346.811	t	11
1347.278	i	12
1347.687	m	13
1348.214	e	14
1348.671	space	15
1349.08	h	16
1349.565	e	17
1350.022	space	18
1350.479	t	19
1350.837	r	20
1351.34	i	21
1351.871	e	22
1352.229	d	23
1352.637	space	24
1353.094	t	25
1353.597	o	26
1354.053	space	27
1354.522	s	28
1354.88	w	29
1355.434	i	30
1355.843	m	31
1356.201	space	32
1356.764	send	33
1362.314	h	1
1362.758	o	2
1363.175	u	3
1363.693	s	4
1364.051	e	5
1364.508	space	6
1364.994	w	7
1365.548	i	8
1366.015	t	9
1366.398	h	10
1366.807	space	11
1367.176	n	12
1367.674	e	13
1368.032	w	14
1368.488	space	15
1368.945	e	16
1369.509	l	17
1370.073	e	18
1370.482	c	19
1370.891	t	20
1371.249	r	21
1371.752	i	22
1372.257	c	23
1372.696	a	24
1373.285	l	25
1373.692	space	26
1374.205	p	27
1374.801	a	28
1375.341	n	29
1375.839	e	30
1376.403	l	31
1376.81	space	32
1377.373	send	33
1382.327	y	1
1382.794	o	2
1383.211	u	3
1383.668	space	4
1384.154	w	5
1384.708	i	6
1385.091	l	7
1385.299	l	8
1385.706	space	9
1386.205	l	10
1386.563	o	11
1386.771	o	12
1387.335	s	13
1387.693	e	14
1388.15	space	15
1388.607	y	16
1389.074	o	17
1389.491	u	18
1389.958	r	19
1390.415	space	20
1390.773	v	21
1391.278	o	22
1391.636	i	23
1392.141	c	24
1392.55	e	25
1393.007	space	26
1393.57	send	27
1402.346	t	1
1402.729	h	2
1403.214	e	3
1403.671	space	4
1404.067	c	5
1404.6	o	6
1405.103	t	7
1405.311	t	8
1405.814	o	9
1406.237	n	10
1406.595	space	11
1407.052	i	12
1407.595	s	13
1408.003	space	14
1408.412	h	15
1408.796	i	16
1409.24	g	17
1409.598	h	18
1410.007	space	19
1410.57	send	20
1422.346	t	1
1422.729	h	2
1423.113	i	3
1423.656	s	4
1424.064	space	5
1424.563	l	6
1425.127	e	7
1425.511	a	8
1425.997	t	9
1426.38	h	10
1426.865	e	11
1427.223	r	12
1427.68	space	13
1428.091	j	14
1428.645	a	15
1429.084	c	16
1429.604	k	17
1430.147	e	18
1430.564	t	19
1431.021	space	20
1431.478	i	21
1432.021	s	22
1432.429	space	23
1432.886	t	24
1433.389	o	25
1433.597	o	26
1434.053	space	27
1434.539	w	28
1434.897	a	29
1435.341	r	30
1435.839	m	31
1436.197	space	32
1436.76	send	33
1442.335	g	1
1442.821	o	2
1443.179	l	3
1443.733	d	4
1444.251	i	5
1444.634	l	6
1444.992	o	7
1445.525	c	8
1446.045	k	9
1446.599	s	10
1447.007	space	11
1447.511	a	12
1448.051	n	13
1448.533	d	14
1448.941	space	15
1449.398	t	16
1449.781	h	17
1450.266	e	18
1450.723	space	19
1451.18	t	20
1451.563	h	21
1452.006	r	22
1452.364	e	23
1452.572	e	24
1453.029	space	25
1453.387	b	26
1453.848	e	27
1454.232	a	28
1454.676	r	29
1455.06	s	30
1455.468	space	31
1456.031	send	32
1462.392	a	1
1462.981	l	2
1463.189	l	3
1463.596	space	4
1464.082	w	5
1464.655	o	6
1465.186	r	7
1465.703	k	8
1466.111	space	9
1466.615	a	10
1467.155	n	11
1467.637	d	12
1468.045	space	13
1468.414	n	14
1468.837	o	15
1469.293	space	16
1469.806	p	17
1470.164	l	18
1470.753	a	19
1471.271	y	20
1471.728	space	21
1472.291	send	22
1482.346	t	1
1482.729	h	2
1483.214	e	3
1483.671	space	4
1484.08	f	5
1484.598	o	6
1485.129	r	7
1485.538	c	8
1485.947	e	9
1486.404	space	10
1486.861	i	11
1487.404	s	12
1487.812	space	13
1488.298	w	14
1488.852	i	15
1489.319	t	16
1489.702	h	17
1490.111	space	18
1490.568	y	19
1491.035	o	20
1491.452	u	21
1491.909	space	22
1492.472	send	23
1502.289	j	1
1502.647	u	2
1503.056	m	3
1503.479	p	4
1503.896	i	5
1504.305	n	6
1504.68	g	7
1505.089	space	8
1505.546	r	9
1506.049	i	10
1506.493	g	11
1506.851	h	12
1507.234	t	13
1507.691	space	14
1508.172	o	15
1508.589	u	16
1509.006	t	17
1509.463	space	18
1509.944	o	19
1510.462	f	20
1510.871	space	21
1511.328	t	22
1511.711	h	23
1512.196	e	24
1512.653	space	25
1513.139	w	26
1513.497	a	27
1513.983	t	28
1514.4	e	29
1514.758	r	30
1515.215	space	31
1515.778	send	32
1522.346	t	1
1522.729	h	2
1523.214	e	3
1523.671	space	4
1524.08	g	5
1524.464	u	6
1524.873	n	7
1525.231	space	8
1525.652	d	9
1526.17	i	10
1526.713	s	11
1527.088	c	12
1527.537	h	13
1528.068	a	14
1528.512	r	15
1528.895	g	16
1529.338	e	17
1529.696	d	18
1530.104	space	19
1530.462	b	20
1530.871	y	21
1531.328	space	22
1531.832	a	23
1532.271	c	24
1532.479	c	25
1532.984	i	26
1533.502	d	27
1533.86	e	28
1534.358	n	29
1534.767	t	30
1535.224	space	31
1535.787	send	32
1542.388	w	1
1542.746	a	2
1543.232	t	3
1543.641	c	4
1544.09	h	5
1544.499	space	6
1544.98	o	7
1545.397	u	8
1545.814	t	9
1546.271	space	10
1546.68	f	11
1547.198	o	12
1547.729	r	13
1548.186	space	14
1548.685	l	15
1549.043	o	16
1549.616	w	17
1550.072	space	18
1550.481	f	19
1551.012	l	20
1551.497	y	21
1551.914	i	22
1552.323	n	23
1552.698	g	24
1553.107	space	25
1553.588	o	26
1554.058	b	27
1554.449	j	28
1554.966	e	29
1555.375	c	30
1555.784	t	31
1556.228	s	32
1556.636	space	33
1557.199	send	34
1562.254	p	1
1562.808	r	2
1563.166	e	3
1563.575	v	4
1564.057	a	5
1564.621	i	6
1565.004	l	7
1565.387	i	8
1565.796	n	9
1566.171	g	10
1566.58	space	11
1567.066	w	12
1567.62	i	13
1568.029	n	14
1568.511	d	15
1568.919	space	16
1569.328	f	17
1569.686	r	18
1570.217	o	19
1570.626	m	20
1570.984	space	21
1571.441	t	22
1571.824	h	23
1572.309	e	24
1572.766	space	25
1573.223	e	26
1573.607	a	27
1573.965	s	28
1574.409	t	29
1574.866	space	30
1575.429	send	31
1582.399	q	1
1582.953	u	2
1583.456	e	3
1583.814	s	4
1584.258	t	5
1584.725	i	6
1585.083	o	7
1585.506	n	8
1585.864	space	9
1586.321	t	10
1586.704	h	11
1587.235	a	12
1587.721	t	13
1588.178	space	14
1588.613	m	15
1589.022	u	16
1589.54	s	17
1589.984	t	18
1590.441	space	19
1590.799	b	20
1591.26	e	21
1591.717	space	22
1592.221	a	23
1592.761	n	24
1593.275	s	25
1593.633	w	26
1593.991	e	27
1594.349	r	28
1594.707	e	29
1595.065	d	30
1595.473	space	31
1596.036	send	32
