Clock(s)	TappedContent	OrderOfKeyTapped
263.184	space	3
263.641	e	4
264.05	x	5
264.408	c	6
264.857	h	7
265.388	a	8
265.928	n	9
266.303	g	10
266.746	e	11
267.203	space	12
267.689	w	13
268.243	i	14
268.71	t	15
269.093	h	16
269.537	o	17
269.954	u	18
270.371	t	19
270.828	space	20
271.332	a	21
271.739	space	22
272.097	b	23
272.52	i	24
272.903	l	25
273.111	l	26
273.518	space	27
274.081	send	28
282.327	y	1
282.794	o	2
283.211	u	3
283.668	space	4
284.172	a	5
284.616	r	6
284.974	e	7
285.431	space	8
285.8	n	9
286.223	o	10
286.726	t	11
287.183	space	12
287.687	a	13
288.094	space	14
288.505	j	15
289.022	e	16
289.38	d	17
289.898	i	18
290.355	space	19
290.812	y	20
291.279	e	21
291.696	t	22
292.153	space	23
292.716	send	24
302.346	t	1
302.729	h	2
303.113	i	3
303.656	s	4
304.064	space	5
304.499	m	6
304.908	i	7
305.451	s	8
305.659	s	9
306.202	i	10
306.56	o	11
306.983	n	12
307.341	space	13
307.81	s	14
308.254	t	15
308.74	a	16
309.226	t	17
309.643	e	18
310.17	m	19
310.697	e	20
311.195	n	21
311.604	t	22
312.061	space	23
312.518	i	24
313.061	s	25
313.469	space	26
313.827	b	27
314.341	a	28
314.93	l	29
315.288	o	30
315.711	n	31
316.209	e	32
316.676	y	33
317.133	space	34
317.696	send	35
322.346	t	1
322.729	h	2
323.214	e	3
323.671	space	4
324.106	m	5
324.515	u	6
325.033	s	7
325.576	i	8
326.081	c	9
326.439	space	10
326.896	i	11
327.439	s	12
327.847	space	13
328.205	b	14
328.666	e	15
329.083	t	16
329.291	t	17
329.708	e	18
330.066	r	19
330.523	space	20
330.98	t	21
331.363	h	22
331.894	a	23
332.434	n	24
332.792	space	25
333.249	i	26
333.716	t	27
334.173	space	28
334.642	s	29
335.206	o	30
335.623	u	31
336.032	n	32
336.514	d	33
336.872	s	34
337.28	space	35
337.843	send	36
342.376	e	1
342.785	x	2
343.194	e	3
343.552	r	4
343.961	c	5
344.466	i	6
345.009	s	7
345.367	e	8
345.824	space	9
346.281	i	10
346.824	s	11
347.232	space	12
347.641	g	13
348.127	o	14
348.335	o	15
348.878	d	16
349.286	space	17
349.695	f	18
350.213	o	19
350.744	r	20
351.201	space	21
351.658	t	22
352.041	h	23
352.526	e	24
352.983	space	25
353.418	m	26
353.827	i	27
354.236	n	28
354.718	d	29
355.126	space	30
355.689	send	31
362.314	h	1
362.799	e	2
363.157	r	3
363.614	space	4
364.049	m	5
364.611	a	6
365.165	j	7
365.682	e	8
366.04	s	9
366.484	t	10
366.842	y	11
367.299	space	12
367.657	v	13
368.127	i	14
368.67	s	15
369.213	i	16
369.68	t	17
370.097	e	18
370.455	d	19
370.863	space	20
371.344	o	21
371.761	u	22
372.228	r	23
372.685	space	24
373.081	c	25
373.614	o	26
374.031	u	27
374.44	n	28
374.849	t	29
375.207	r	30
375.624	y	31
376.081	space	32
376.644	send	33
382.381	s	1
382.924	i	2
383.368	g	3
383.743	n	4
384.101	space	5
384.558	t	6
384.941	h	7
385.426	e	8
385.883	space	9
386.369	w	10
386.923	i	11
387.39	t	12
387.773	h	13
388.24	d	14
388.598	r	15
389.042	a	16
389.4	w	17
389.758	a	18
390.347	l	19
390.754	space	20
391.223	s	21
391.796	l	22
392.179	i	23
392.596	p	24
393.051	space	25
393.614	send	26
402.276	i	1
402.733	space	2
403.232	l	3
403.615	i	4
403.973	k	5
404.516	e	6
404.973	space	7
